pressure temperature CH4 H2S H2 He
0.32839 56.5644 0.000153738 2.14129e-15 0.8098754722200018 0.1899707897800004 
0.320081 56.3882 0.000147909 1.89227e-15 0.8098801937100016 0.18997189729000036 
0.311982 56.255 0.000144512 1.73318e-15 0.8098829452800015 0.18997254272000033 
0.304089 56.165 0.000143426 1.64635e-15 0.8098838249400014 0.18997274906000033 
0.296395 56.0749 0.000142333 1.56349e-15 0.8098847102700013 0.1899729567300003 
0.288896 55.9849 0.000141233 1.48443e-15 0.8098856012700012 0.18997316573000028 
0.281586 55.895 0.000140133 1.40916e-15 0.8098864922700012 0.18997337473000026 
0.274462 55.8069 0.000139126 1.33959e-15 0.8098873079400012 0.18997356606000027 
0.267517 55.7189 0.000138111 1.27315e-15 0.809888130090001 0.18997375891000023 
0.260749 55.6309 0.00013709 1.20971e-15 0.8098889571000011 0.18997395290000024 
0.254151 55.5429 0.000136062 1.14915e-15 0.8098897897800009 0.1899741482200002 
0.247721 55.4538 0.000134973 1.09034e-15 0.809890671870001 0.18997435513000022 
0.241453 55.3637 0.000133828 1.03338e-15 0.8098915993200009 0.1899745726800002 
0.235344 55.2736 0.000132679 9.79143e-16 0.8098925300100008 0.1899747909900002 
0.229389 55.1836 0.000131524 9.27511e-16 0.8098934655600007 0.18997501044000017 
0.223586 55.0935 0.000130363 8.78351e-16 0.8098944059700007 0.18997523103000016 
0.217929 55.003 0.000129181 8.31314e-16 0.8098953633900007 0.18997545561000015 
0.212415 54.9126 0.000127994 7.86589e-16 0.8098963248600007 0.18997568114000016 
0.20704 54.8221 0.000126804 7.44072e-16 0.8098972887600007 0.18997590724000016 
0.201802 54.7317 0.000125611 7.03664e-16 0.8098982550900006 0.18997613391000012 
0.196696 54.6714 0.000125887 6.837e-16 0.8098980315300005 0.1899760814700001 
0.191719 54.6274 0.00012696 6.74079e-16 0.8098971624000005 0.18997587760000012 
0.186868 54.5834 0.000128038 6.64553e-16 0.8098962892200006 0.18997567278000013 
0.18214 54.5395 0.000129123 6.5512e-16 0.8098954103700006 0.18997546663000012 
0.177532 54.4956 0.000130218 6.45837e-16 0.8098945234200006 0.18997525858000014 
0.17304 54.4526 0.000131364 6.37154e-16 0.8098935951600006 0.18997504084000014 
0.168662 54.4096 0.000132516 6.28547e-16 0.8098926620400007 0.18997482196000012 
0.164394 54.3666 0.000133675 6.20022e-16 0.8098917232500006 0.1899746017500001 
0.160235 54.3236 0.00013484 6.11572e-16 0.8098907796000007 0.18997438040000014 
0.156181 54.2898 0.000136511 6.08345e-16 0.8098894260900005 0.1899740629100001 
0.152229 54.2673 0.000138814 6.11381e-16 0.8098875606600006 0.18997362534000012 
0.148377 54.2448 0.000141156 6.1442e-16 0.8098856636400006 0.18997318036000013 
0.144623 54.2223 0.000143536 6.17466e-16 0.8098837358400005 0.18997272816000013 
0.140964 54.1995 0.000145941 6.20384e-16 0.8098817877900006 0.18997227121000013 
0.137397 54.154 0.000147049 6.10337e-16 0.8098808903100005 0.1899720606900001 
0.133921 54.1084 0.00014816 6.0041e-16 0.8098799904000006 0.1899718496000001 
0.130533 54.0628 0.000149275 5.90603e-16 0.8098790872500006 0.18997163775000012 
0.12723 54.0173 0.000150394 5.80914e-16 0.8098781808600004 0.1899714251400001 
0.124011 53.973 0.000151593 5.72019e-16 0.8098772096700005 0.18997119733000012 
0.120873 53.9295 0.000152846 5.6363e-16 0.8098761947400005 0.1899709592600001 
0.117815 53.8859 0.000154104 5.55328e-16 0.8098751757600005 0.1899707202400001 
0.114834 53.8424 0.000155368 5.47113e-16 0.8098741519200005 0.1899704800800001 
